Type,Level,BizzId,Concept,BusinessArea,BusinessDomain,ServiceDomain,Link
Service Domain,3,88237,StrategyCapability,Business Support,Non-IT and Non-HR Enterprise Services,Approved Supplier Directory,https://bian.org/servicelandscape-13-0-0/elements/id_88237.html
Service Domain,3,88239,StrategyCapability,Business Support,Non-IT and Non-HR Enterprise Services,Legal Advisory,https://bian.org/servicelandscape-13-0-0/elements/id_88239.html
Business Domain,2,88241,StrategyCapability,Business Support,Buildings Equipment and Facilities,,https://bian.org/servicelandscape-13-0-0/elements/id_88241.html
Service Domain,3,88243,StrategyCapability,Business Support,Buildings Equipment and Facilities,Utilities Administration,https://bian.org/servicelandscape-13-0-0/elements/id_88243.html
Service Domain,3,88245,StrategyCapability,Business Support,Buildings Equipment and Facilities,Site Operations,https://bian.org/servicelandscape-13-0-0/elements/id_88245.html
Service Domain,3,88247,StrategyCapability,Business Support,Buildings Equipment and Facilities,Site Administration,https://bian.org/servicelandscape-13-0-0/elements/id_88247.html
Service Domain,3,88249,StrategyCapability,Business Support,Buildings Equipment and Facilities,Property Portfolio,https://bian.org/servicelandscape-13-0-0/elements/id_88249.html
Service Domain,3,88251,StrategyCapability,Business Support,Buildings Equipment and Facilities,Equipment Maintenance,https://bian.org/servicelandscape-13-0-0/elements/id_88251.html
Service Domain,3,88253,StrategyCapability,Business Support,Buildings Equipment and Facilities,Equipment Administration,https://bian.org/servicelandscape-13-0-0/elements/id_88253.html
Service Domain,3,88255,StrategyCapability,Business Support,Buildings Equipment and Facilities,Building Maintenance,https://bian.org/servicelandscape-13-0-0/elements/id_88255.html
Business Domain,2,88257,StrategyCapability,Business Support,Business Command and Control,,https://bian.org/servicelandscape-13-0-0/elements/id_88257.html
Service Domain,3,88259,StrategyCapability,Business Support,Business Command and Control,Business Unit Management,https://bian.org/servicelandscape-13-0-0/elements/id_88259.html
Service Domain,3,88261,StrategyCapability,Business Support,Business Command and Control,Business Unit Financial Analysis,https://bian.org/servicelandscape-13-0-0/elements/id_88261.html
Service Domain,3,88263,StrategyCapability,Business Support,Business Command and Control,Business Unit Direction,https://bian.org/servicelandscape-13-0-0/elements/id_88263.html
Service Domain,3,88265,StrategyCapability,Business Support,Business Command and Control,Business Unit Accounting,https://bian.org/servicelandscape-13-0-0/elements/id_88265.html
Service Domain,3,88267,StrategyCapability,Business Support,Business Command and Control,Business Unit Financial Operations,https://bian.org/servicelandscape-13-0-0/elements/id_88267.html
Service Domain,3,88269,StrategyCapability,Business Support,Business Command and Control,Organization Direction,https://bian.org/servicelandscape-13-0-0/elements/id_88269.html
Business Domain,2,88271,StrategyCapability,Business Support,Finance,,https://bian.org/servicelandscape-13-0-0/elements/id_88271.html
Service Domain,3,88273,StrategyCapability,Business Support,Finance,Financial Statements,https://bian.org/servicelandscape-13-0-0/elements/id_88273.html
Service Domain,3,88275,StrategyCapability,Business Support,Finance,Financial Control,https://bian.org/servicelandscape-13-0-0/elements/id_88275.html
Service Domain,3,88277,StrategyCapability,Business Support,Finance,Financial Compliance,https://bian.org/servicelandscape-13-0-0/elements/id_88277.html
Service Domain,3,88279,StrategyCapability,Business Support,Finance,Enterprise Tax Administration,https://bian.org/servicelandscape-13-0-0/elements/id_88279.html
Business Domain,2,88281,StrategyCapability,Business Support,Human Resource Management,,https://bian.org/servicelandscape-13-0-0/elements/id_88281.html
Service Domain,3,88283,StrategyCapability,Business Support,Human Resource Management,Workforce Training,https://bian.org/servicelandscape-13-0-0/elements/id_88283.html
Service Domain,3,88285,StrategyCapability,Business Support,Human Resource Management,Travel and Expenses,https://bian.org/servicelandscape-13-0-0/elements/id_88285.html
Service Domain,3,88287,StrategyCapability,Business Support,Human Resource Management,Recruitment,https://bian.org/servicelandscape-13-0-0/elements/id_88287.html
Service Domain,3,88289,StrategyCapability,Business Support,Human Resource Management,Human Resources Direction,https://bian.org/servicelandscape-13-0-0/elements/id_88289.html
Service Domain,3,88291,StrategyCapability,Business Support,Human Resource Management,Employee and Contractor Contract,https://bian.org/servicelandscape-13-0-0/elements/id_88291.html
Service Domain,3,88293,StrategyCapability,Business Support,Human Resource Management,Employee Payroll And Incentives,https://bian.org/servicelandscape-13-0-0/elements/id_88293.html
Service Domain,3,88295,StrategyCapability,Business Support,Human Resource Management,Employee Evaluation,https://bian.org/servicelandscape-13-0-0/elements/id_88295.html
Service Domain,3,88297,StrategyCapability,Business Support,Human Resource Management,Employee Data Management,https://bian.org/servicelandscape-13-0-0/elements/id_88297.html
Service Domain,3,88299,StrategyCapability,Business Support,Human Resource Management,Employee Certification,https://bian.org/servicelandscape-13-0-0/elements/id_88299.html
Service Domain,3,88301,StrategyCapability,Business Support,Human Resource Management,Employee Benefits,https://bian.org/servicelandscape-13-0-0/elements/id_88301.html
Service Domain,3,88303,StrategyCapability,Business Support,Human Resource Management,Employee Assignment,https://bian.org/servicelandscape-13-0-0/elements/id_88303.html
Service Domain,3,88305,StrategyCapability,Business Support,Human Resource Management,Employee Access,https://bian.org/servicelandscape-13-0-0/elements/id_88305.html
Business Domain,2,88307,StrategyCapability,Business Support,Knowledge and Intellectual Property,,https://bian.org/servicelandscape-13-0-0/elements/id_88307.html
Service Domain,3,88309,StrategyCapability,Business Support,Knowledge and Intellectual Property,Management Manual,https://bian.org/servicelandscape-13-0-0/elements/id_88309.html
Service Domain,3,88311,StrategyCapability,Business Support,Knowledge and Intellectual Property,Knowledge Exchange,https://bian.org/servicelandscape-13-0-0/elements/id_88311.html
Service Domain,3,88313,StrategyCapability,Business Support,Knowledge and Intellectual Property,Intellectual Property Portfolio,https://bian.org/servicelandscape-13-0-0/elements/id_88313.html
Business Domain,2,88315,StrategyCapability,Business Support,Corporate Relations,,https://bian.org/servicelandscape-13-0-0/elements/id_88315.html
Service Domain,3,88317,StrategyCapability,Business Support,Corporate Relations,Regulatory And Legal Authority,https://bian.org/servicelandscape-13-0-0/elements/id_88317.html
Service Domain,3,88319,StrategyCapability,Business Support,Corporate Relations,Investor Relations,https://bian.org/servicelandscape-13-0-0/elements/id_88319.html
Service Domain,3,88321,StrategyCapability,Business Support,Corporate Relations,Corporate Relationship,https://bian.org/servicelandscape-13-0-0/elements/id_88321.html
Service Domain,3,88323,StrategyCapability,Business Support,Corporate Relations,Corporate Communications,https://bian.org/servicelandscape-13-0-0/elements/id_88323.html
Service Domain,3,88325,StrategyCapability,Business Support,Corporate Relations,Corporate Alliance and Stake Holder,https://bian.org/servicelandscape-13-0-0/elements/id_88325.html
Business Domain,2,88327,StrategyCapability,Business Support,Business Direction,,https://bian.org/servicelandscape-13-0-0/elements/id_88327.html
Service Domain,3,88329,StrategyCapability,Business Support,Business Direction,Corporate Strategy,https://bian.org/servicelandscape-13-0-0/elements/id_88329.html
Service Domain,3,88331,StrategyCapability,Business Support,Business Direction,Corporate Policies,https://bian.org/servicelandscape-13-0-0/elements/id_88331.html
Service Domain,3,88333,StrategyCapability,Business Support,Business Direction,Continuity Planning,https://bian.org/servicelandscape-13-0-0/elements/id_88333.html
Service Domain,3,88335,StrategyCapability,Business Support,Business Direction,Enterprise Architecture,https://bian.org/servicelandscape-13-0-0/elements/id_88335.html
Service Domain,3,88337,StrategyCapability,Business Support,Business Direction,Products and Services Direction,https://bian.org/servicelandscape-13-0-0/elements/id_88337.html
Business Domain,2,88339,StrategyCapability,Business Support,Document Management and Archive,,https://bian.org/servicelandscape-13-0-0/elements/id_88339.html
Service Domain,3,88341,StrategyCapability,Business Support,Document Management and Archive,Document Directory,https://bian.org/servicelandscape-13-0-0/elements/id_88341.html
Service Domain,3,88343,StrategyCapability,Business Support,Document Management and Archive,Correspondence,https://bian.org/servicelandscape-13-0-0/elements/id_88343.html
Service Domain,3,88345,StrategyCapability,Business Support,Document Management and Archive,Archive Services,https://bian.org/servicelandscape-13-0-0/elements/id_88345.html
Service Domain,3,88347,StrategyCapability,Business Support,Document Management and Archive,Document Services,https://bian.org/servicelandscape-13-0-0/elements/id_88347.html
